Activity_State	Help_State	Card_State	Robot_State	Action
START	No	Not Detected	At front of room	GREETING
FACILITATE	No	Not Detected	At front of room	CALL NUMBER
FACILITATE	No	Not Detected	At front of room	CALL NUMBER
FACILITATE	No	Not Detected	At front of room	CALL NUMBER
FACILITATE	No	Not Detected	At front of room	ENCOURAGE
FACILITATE	No	Not Detected	At front of room	CALL NUMBER
FACILITATE	No	Not Detected	At front of room	SHOWBINGOCARD
FACILITATE	No	Not Detected	At front of room	ENCOURAGE
FACILITATE	No	Not Detected	At front of room	CALL NUMBER
FACILITATE	No	Not Detected	At front of room	CALL NUMBER
FACILITATE	No	Not Detected	At front of room	JOKE
FACILITATE	No	Not Detected	At front of room	CALL NUMBER
FACILITATE	No	Not Detected	At front of room	CALL NUMBER
FACILITATE	No	Not Detected	At front of room	REMOVEMARKER
FACILITATE	Yes	Not Detected	At front of room	REMOVEMARKER
FACILITATE	Yes	Not Detected	At front of room	MOVE_TO_HELP
HELP	Yes	Incorrectly Marked	At player that needs help	REMOVEMARKER
FACILITATE	No	Not Detected	At player that needs help	MOVE_TO_FRONT
FACILITATE	No	Not Detected	At front of room	CALL NUMBER
FACILITATE	No	Not Detected	At front of room	CALL NUMBER
FACILITATE	No	Not Detected	At front of room	ENCOURAGE
FACILITATE	No	Not Detected	At front of room	CALL NUMBER
FACILITATE	No	Not Detected	At front of room	CALL NUMBER
FACILITATE	No	Not Detected	At front of room	CALL NUMBER
FACILITATE	No	Not Detected	At front of room	CALL NUMBER
FACILITATE	No	Not Detected	At front of room	CALL NUMBER
FACILITATE	Yes	Not Detected	At front of room	MOVE_TO_HELP
HELP	Yes	Missing Numbers	At player that needs help	MARKNUMBER
FACILITATE	No	Not Detected	At player that needs help	MOVE_TO_FRONT
FACILITATE	No	Not Detected	At front of room	CALL NUMBER
FACILITATE	No	Not Detected	At front of room	CALL NUMBER
FACILITATE	No	Not Detected	At front of room	CALL NUMBER
FACILITATE	No	Not Detected	At front of room	ENCOURAGE
FACILITATE	No	Not Detected	At front of room	CALL NUMBER
FACILITATE	No	Not Detected	At front of room	CALL NUMBER
FACILITATE	No	Not Detected	At front of room	CALL NUMBER
FACILITATE	No	Not Detected	At front of room	CALL NUMBER
FACILITATE	No	Not Detected	At front of room	CALL NUMBER
FACILITATE	No	Not Detected	At front of room	CALL NUMBER
FACILITATE	No	Not Detected	At front of room	CALL NUMBER
FACILITATE	No	Not Detected	At front of room	CALL NUMBER
FACILITATE	No	Not Detected	At front of room	ENCOURAGE
FACILITATE	No	Not Detected	At front of room	CALL NUMBER
FACILITATE	No	Not Detected	At front of room	CALL NUMBER
FACILITATE	No	Not Detected	At front of room	CALL NUMBER
FACILITATE	Yes	Not Detected	At front of room	MOVE_TO_HELP
HELP	Yes	Missing Numbers	At player that needs help	REMOVEMARKER
FACILITATE	No	Not Detected	At player that needs help	MOVE_TO_FRONT
FACILITATE	No	Not Detected	At front of room	CALL NUMBER
FACILITATE	No	Not Detected	At front of room	CALL NUMBER
FACILITATE	No	Not Detected	At front of room	CALL NUMBER
FACILITATE	No	Not Detected	At front of room	ENCOURAGE
FACILITATE	No	Not Detected	At front of room	CALL NUMBER
FACILITATE	No	Not Detected	At front of room	CALL NUMBER
FACILITATE	No	Not Detected	At front of room	CALL NUMBER
FACILITATE	No	Not Detected	At front of room	CALL NUMBER
FACILITATE	No	Not Detected	At front of room	CALL NUMBER
FACILITATE	No	Not Detected	At front of room	CALL NUMBER
FACILITATE	No	Not Detected	At front of room	CALL NUMBER
FACILITATE	No	Not Detected	At front of room	CALL NUMBER
FACILITATE	No	Not Detected	At front of room	CALL NUMBER
FACILITATE	No	Not Detected	At front of room	JOKE
FACILITATE	No	Not Detected	At front of room	CALL NUMBER
FACILITATE	No	Not Detected	At front of room	CALL NUMBER
FACILITATE	No	Not Detected	At front of room	CALL NUMBER
FACILITATE	No	Not Detected	At front of room	CALL NUMBER
FACILITATE	No	Not Detected	At front of room	ENCOURAGE
FACILITATE	No	Not Detected	At front of room	CALL NUMBER
FACILITATE	Yes	Not Detected	At front of room	MOVE_TO_HELP
HELP	Yes	Bingo	At player that needs help	SHOWBINGOCARD
FACILITATE	No	Not Detected	At player that needs help	CELEBRATE
FACILITATE	No	Not Detected	At player that needs help	MOVE_TO_FRONT
FACILITATE	No	Not Detected	At front of room	ENCOURAGE
